Date,Open,High,Low,Close
14/02/2024 16:05,132862,132960,132821,132924
14/02/2024 16:10,132919,132955,132816,132821
14/02/2024 16:15,132816,132950,132801,132832
14/02/2024 16:20,132826,133058,132826,133043
14/02/2024 16:25,133043,133131,133033,133120
14/02/2024 16:30,133120,133131,133007,133079
14/02/2024 16:35,133079,133172,133038,133110
14/02/2024 16:40,133110,133131,133053,133069
14/02/2024 16:45,133069,133079,132914,132940
14/02/2024 16:50,132940,133048,132935,132966
14/02/2024 16:55,132966,133002,132868,132909
14/02/2024 17:00,132909,133033,132909,132955
14/02/2024 17:05,132950,133053,132950,133017
14/02/2024 17:10,133012,133022,132893,132919
14/02/2024 17:15,132919,133043,132909,132971
14/02/2024 17:20,132971,133120,132945,133105
14/02/2024 17:25,133105,133177,133027,133033
14/02/2024 17:30,133027,133053,132919,132955
14/02/2024 17:35,132955,133022,132929,132976
14/02/2024 17:40,132971,133063,132960,133038
14/02/2024 17:45,133038,133094,132976,133038
14/02/2024 17:50,133038,133069,132966,132991
14/02/2024 17:55,132991,133115,132991,133089
14/02/2024 18:00,133089,133141,133048,133125
14/02/2024 18:05,133120,133136,133058,133094
14/02/2024 18:10,133094,133167,133063,133156
14/02/2024 18:15,133156,133228,133136,133182
14/02/2024 18:20,133177,133203,133151,133203
15/02/2024 09:00,133476,133677,133393,133419
15/02/2024 09:05,133424,133512,133383,133429
15/02/2024 09:10,133424,133579,133414,133491
15/02/2024 09:15,133497,133558,133404,133419
15/02/2024 09:20,133414,133476,133373,133440
15/02/2024 09:25,133440,133574,133429,133564
15/02/2024 09:30,133569,133636,133538,133631
15/02/2024 09:35,133631,133656,133569,133605
15/02/2024 09:40,133600,133651,133594,133631
15/02/2024 09:45,133636,133698,133620,133672
15/02/2024 09:50,133677,133718,133641,133708
15/02/2024 09:55,133708,133765,133672,133687
15/02/2024 10:00,133682,133723,133491,133517
15/02/2024 10:05,133522,133543,133362,133399
15/02/2024 10:10,133399,133512,133357,133424
15/02/2024 10:15,133429,133564,133383,133471
15/02/2024 10:20,133471,133507,133311,133321
15/02/2024 10:25,133321,133388,133254,133275
15/02/2024 10:30,133280,133600,133254,133507
15/02/2024 10:35,133502,133631,133476,133584
15/02/2024 10:40,133584,133615,133409,133502
15/02/2024 10:45,133502,133548,133131,133172
15/02/2024 10:50,133172,133239,133125,133213
15/02/2024 10:55,133218,133306,133182,133285
15/02/2024 11:00,133285,133316,133156,133182
15/02/2024 11:05,133182,133187,133007,133038
15/02/2024 11:10,133038,133094,132981,133027
15/02/2024 11:15,133027,133213,133012,133151
15/02/2024 11:20,133151,133218,133063,133079
15/02/2024 11:25,133074,133182,133002,133125
15/02/2024 11:30,133125,133388,133094,133373
15/02/2024 11:35,133378,133579,133326,133502
15/02/2024 11:40,133502,133631,133435,133522
15/02/2024 11:45,133522,133569,133399,133404
15/02/2024 11:50,133409,133564,133373,133419
15/02/2024 11:55,133419,133548,133326,133362
15/02/2024 12:00,133362,133429,133290,133337
15/02/2024 12:05,133332,133424,133223,133409
15/02/2024 12:10,133414,133455,133321,133429
15/02/2024 12:15,133429,133476,133352,133404
15/02/2024 12:20,133409,133424,133249,133265
15/02/2024 12:25,133270,133295,133161,133290
15/02/2024 12:30,133290,133419,133290,133357
15/02/2024 12:35,133352,133553,133316,133548
15/02/2024 12:40,133548,133584,133445,133517
15/02/2024 12:45,133512,133584,133486,133558
15/02/2024 12:50,133553,133600,133502,133589
15/02/2024 12:55,133589,133641,133512,133517
15/02/2024 13:00,133512,133533,133373,133414
15/02/2024 13:05,133414,133491,133244,133259
15/02/2024 13:10,133259,133383,133234,133306
15/02/2024 13:15,133311,133399,133270,133337
15/02/2024 13:20,133337,133429,133311,133378
15/02/2024 13:25,133378,133424,133311,133311
15/02/2024 13:30,133316,133373,133218,133234
